date,Daily Total
2017-05-19,3686
2017-05-20,4074
2017-05-21,4455
2017-05-22,4438
2017-05-23,3414
2017-05-24,3887
2017-05-25,4297
2017-05-26,4124
2017-05-27,4365
2017-05-28,4335
2017-05-29,4215
2017-05-30,4091
2017-05-31,4212
2017-06-01,4462
2017-06-02,4884
2017-06-03,4191
2017-06-04,4282
2017-06-05,4297
2017-06-06,4222
2017-06-07,4225
2017-06-08,4463
2017-06-09,4766
2017-06-10,4727
2017-06-11,4671
2017-06-12,4591
2017-06-13,4057
2017-06-14,3857
2017-06-15,4388
2017-06-16,4596
2017-06-17,4073
2017-06-18,4704
2017-06-19,4296
2017-06-20,4758
2017-06-21,3808
2017-06-22,3782
2017-06-23,3751
2017-06-24,4463
2017-06-25,4375
2017-06-26,3516
2017-06-27,3412
2017-06-28,3111
2017-06-29,3412
2017-06-30,3872
2017-07-01,4517
2017-07-02,4339
2017-07-03,3618
2017-07-04,4502
2017-07-05,3792
2017-07-06,4046
2017-07-07,3882
2017-07-08,4319
2017-07-09,4052
2017-07-10,3358
2017-07-11,3720
2017-07-12,3035
2017-07-13,3989
2017-07-14,4326
2017-07-15,4466
2017-07-16,4180
2017-07-17,4236
2017-07-18,4102
2017-07-19,4132
2017-07-20,3656
2017-07-21,3976
2017-07-22,4123
2017-07-23,4233
2017-07-24,3635
2017-07-25,3948
2017-07-26,4048
2017-07-27,4134
2017-07-28,4460
2017-07-29,4575
2017-07-30,4449
2017-07-31,3758
2017-08-01,3548
2017-08-02,3844
2017-08-03,3666
2017-08-04,3700
2017-08-05,4333
2017-08-06,4023
2017-08-07,3428
2017-08-08,3467
2017-08-09,3514
2017-08-10,3646
2017-08-11,3795
2017-08-12,4349
2017-08-13,4166
2017-08-14,3328
2017-08-15,3424
2017-08-16,3356
2017-08-17,3310
2017-08-18,3866
2017-08-19,4353
2017-08-20,4009
2017-08-21,3031
2017-08-22,3238
2017-08-23,3336
2017-08-24,3435
2017-08-25,3833
2017-08-26,4302
2017-08-27,3929
2017-08-28,3178
2017-08-29,3107
2017-08-30,3432
2017-08-31,3530
2017-09-01,3912
2017-09-02,3915
2017-09-03,4112
2017-09-04,3606
2017-09-05,3798
2017-09-06,4044
2017-09-07,4418
2017-09-08,4368
2017-09-09,4152
2017-09-10,4147
2017-09-11,4255
2017-09-12,4258
2017-09-13,3872
2017-09-14,4570
2017-09-15,4767
2017-09-16,3921
2017-09-17,3744
2017-09-18,4210
2017-09-19,3761
2017-09-20,4304
2017-09-21,4400
2017-09-22,5008
2017-09-23,4354
2017-09-24,4230
2017-09-25,4548
2017-09-26,4350
2017-09-27,4217
2017-09-28,4535
2017-09-29,4878
2017-09-30,4288
2017-10-01,3742
2017-10-02,3986
2017-10-03,3619
2017-10-04,3583
2017-10-05,4299
2017-10-06,3788
2017-10-07,3584
2017-10-08,4316
2017-10-09,3622
2017-10-10,3782
2017-10-11,3045
2017-10-12,3598
2017-10-13,4393
2017-10-14,2209
2017-10-15,3274
2017-10-16,3714
2017-10-17,4256
2017-10-18,4406
2017-10-19,4425
2017-10-20,4668
2017-10-21,4151
2017-10-22,3200
2017-10-23,2857
2017-10-24,2597
2017-10-25,4289
2017-10-26,4326
2017-10-27,4056
2017-10-28,3922
2017-10-29,3970
2017-10-30,3712
2017-10-31,4025
2017-11-01,3363
2017-11-02,3142
2017-11-03,3584
2017-11-04,3153
2017-11-05,3277
2017-11-06,3931
2017-11-07,3598
2017-11-08,4123
2017-11-09,4124
2017-11-10,3382
2017-11-11,3838
2017-11-12,3111
2017-11-13,3775
2017-11-14,3762
2017-11-15,2883
2017-11-16,3329
2017-11-17,3813
2017-11-18,2924
2017-11-19,4131
2017-11-20,4011
2017-11-21,3626
2017-11-22,3621
2017-11-23,4642
2017-11-24,4226
2017-11-25,4310
2017-11-26,4031
2017-11-27,3904
2017-11-28,3469
2017-11-29,3673
2017-11-30,4087
2017-12-01,4259
2017-12-02,4086
2017-12-03,4221
2017-12-04,3622
2017-12-05,3806
2017-12-06,4048
2017-12-07,4087
2017-12-08,4462
2017-12-09,3394
2017-12-10,3937
2017-12-11,3348
2017-12-12,3827
